GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,8111213,Upholstery and interior repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,5,42490,8.5,8667,2048,326
0100000US,,United States,8111213,Upholstery and interior repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,10,56027,11.3,13426,3189,459
0100000US,,United States,8111213,Upholstery and interior repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,25,83053,16.7,22078,5136,709
0100000US,,United States,8111213,Upholstery and interior repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,61,126883,25.5,36884,8518,1170
0100000US,,United States,811122,Automotive glass replacement shops,A,All establishments,001,All firms,2002,6950,3782984,100.0,995612,238148,32899
0100000US,,United States,811122,Automotive glass replacement shops,A,All establishments,804,4 largest firms,2002,1495,1043377,27.6,263261,62942,7112
0100000US,,United States,811122,Automotive glass replacement shops,A,All establishments,808,8 largest firms,2002,1684,1216515,32.2,308208,73663,8364
0100000US,,United States,811122,Automotive glass replacement shops,A,All establishments,820,20 largest firms,2002,1892,1471439,38.9,371089,88341,9926
0100000US,,United States,811122,Automotive glass replacement shops,A,All establishments,850,50 largest firms,2002,2111,1723506,45.6,443951,106139,12084
0100000US,,United States,811122,Automotive glass replacement shops,T,Establishments subject to federal income tax,001,All firms,2002,6950,3782984,100.0,995612,238148,32899
0100000US,,United States,811122,Automotive glass replacement shops,T,Establishments subject to federal income tax,804,4 largest firms,2002,1495,1043377,27.6,263261,62942,7112
0100000US,,United States,811122,Automotive glass replacement shops,T,Establishments subject to federal income tax,808,8 largest firms,2002,1684,1216515,32.2,308208,73663,8364
0100000US,,United States,811122,Automotive glass replacement shops,T,Establishments subject to federal income tax,820,20 largest firms,2002,1892,1471439,38.9,371089,88341,9926
0100000US,,United States,811122,Automotive glass replacement shops,T,Establishments subject to federal income tax,850,50 largest firms,2002,2111,1723506,45.6,443951,106139,12084
0100000US,,United States,81119,Other automotive repair and maintenance,A,All establishments,001,All firms,2002,24800,10614194,100.0,3201701,770856,216120
0100000US,,United States,81119,Other automotive repair and maintenance,A,All establishments,804,4 largest firms,2002,1140,790055,7.4,220570,54520,14528
0100000US,,United States,81119,Other automotive repair and maintenance,A,All establishments,808,8 largest firms,2002,1600,1158889,10.9,337231,83097,21367
0100000US,,United States,81119,Other automotive repair and maintenance,A,All establishments,820,20 largest firms,2002,1843,1667588,15.7,493688,121899,27883
0100000US,,United States,81119,Other automotive repair and maintenance,A,All establishments,850,50 largest firms,2002,2681,2295915,21.6,678921,166901,40212
0100000US,,United States,81119,Other automotive repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2002,24800,10614194,100.0,3201701,770856,216120
